county,month,total_bottles_sold,total_sale_dollars
ADAIR,2012-01-01,2263,24967.110000000004
ADAIR,2012-02-01,2559,28078.870000000006
ADAIR,2012-03-01,2285,25380.590000000004
ADAIR,2012-04-01,3097,36608.040000000008
ADAIR,2012-05-01,3086,35782.93
ADAIR,2012-06-01,3309,37612.310000000012
ADAIR,2012-07-01,2976,35414.509999999987
ADAIR,2012-08-01,2870,34609.28
ADAIR,2012-09-01,2643,31658.159999999989
ADAIR,2012-10-01,3322,41801.249999999985
ADAIR,2012-11-01,2721,34942.1
ADAIR,2012-12-01,3763,46836.330000000009
ADAIR,2013-01-01,2370,27586.17
ADAIR,2013-02-01,2148,24866.77
ADAIR,2013-03-01,2611,29958.76
ADAIR,2013-04-01,2919,34524.42
ADAIR,2013-05-01,2298,27907.689999999995
ADAIR,2013-06-01,2745,32497.009999999991
ADAIR,2013-07-01,2986,33869.84
ADAIR,2013-08-01,2707,31961.659999999996
ADAIR,2013-09-01,2809,31822.589999999993
ADAIR,2013-10-01,2417,28309.94
ADAIR,2013-11-01,2523,32602.790000000005
ADAIR,2013-12-01,3579,42676.62000000001
ADAIR,2014-01-01,2493,29286.2
ADAIR,2014-02-01,1994,23345.04
ADAIR,2014-03-01,3417,39473.959999999985
ADAIR,2014-04-01,2519,30169.350000000006
ADAIR,2014-05-01,2660,31820.939999999995
ADAIR,2014-06-01,3717,43486.55
ADAIR,2014-07-01,2601,31766.78
ADAIR,2014-08-01,3231,38133.919999999991
ADAIR,2014-09-01,2817,34424.829999999994
ADAIR,2014-10-01,2355,29601.249999999989
ADAIR,2014-11-01,2868,33290.52
ADAIR,2014-12-01,3794,48271.73
ADAIR,2015-01-01,2810,32221.040000000008
ADAIR,2015-02-01,2773,32409.620000000003
ADAIR,2015-03-01,3278,38925.65
ADAIR,2015-04-01,2281,27978.72
ADAIR,2015-05-01,2479,30561.949999999997
ADAIR,2015-06-01,3587,43091.229999999996
ADAIR,2015-07-01,2762,35683.140000000007
ADAIR,2015-08-01,2780,33304.1
ADAIR,2015-09-01,2616,31098.339999999993
ADAIR,2015-10-01,3025,34305.510000000009
ADAIR,2015-11-01,3354,42251.999999999993
ADAIR,2015-12-01,3304,42919.52
ADAIR,2016-01-01,2348,28266.549999999996
ADAIR,2016-02-01,3347,40811.12000000001
ADAIR,2016-03-01,2759,36351.64
ADAIR,2016-04-01,2493,30089.300000000003
ADAIR,2016-05-01,3726,46277.579999999994
ADAIR,2016-06-01,2921,37858.719999999994
ADAIR,2016-07-01,2526,29286.15
ADAIR,2016-08-01,2732,35001.37
ADAIR,2016-09-01,2662,33041.34
ADAIR,2016-10-01,3312,41448.619999999995
ADAIR,2016-11-01,3578,41976.11
ADAIR,2016-12-01,3667,44108.25
ADAIR,2017-01-01,2518,31244.900000000005
ADAIR,2017-02-01,2809,33261.110000000015
ADAIR,2017-03-01,2840,34963.499999999993
ADAIR,2017-04-01,2737,31647.23
ADAIR,2017-05-01,3346,41225.80000000001
ADAIR,2017-06-01,3390,41180.290000000015
ADAIR,2017-07-01,2834,35042.009999999987
ADAIR,2017-08-01,3416,42307.280000000013
ADAIR,2017-09-01,2828,34665.73000000001
ADAIR,2017-10-01,3009,38952.96
ADAIR,2017-11-01,3305,39524.48000000001
ADAIR,2017-12-01,4373,57543.55
ADAIR,2018-01-01,2993,36866.899999999994
ADAIR,2018-02-01,2315,28518.489999999998
ADAIR,2018-03-01,3223,42776.17
ADAIR,2018-04-01,2663,33928.64
ADAIR,2018-05-01,3114,37175.189999999995
ADAIR,2018-06-01,4056,51183.169999999991
ADAIR,2018-07-01,2760,37000.990000000013
ADAIR,2018-08-01,3781,47004.42
ADAIR,2018-09-01,2269,27913.859999999997
ADAIR,2018-10-01,3857,46417.56
ADAIR,2018-11-01,3419,44941.250000000007
ADAIR,2018-12-01,3825,48006.590000000011
ADAIR,2019-01-01,2783,35350.439999999988
ADAIR,2019-02-01,2967,34984.05
ADAIR,2019-03-01,3402,44785.07
ADAIR,2019-04-01,3238,40080.27
ADAIR,2019-05-01,4126,47740.669999999991
ADAIR,2019-06-01,3898,51275.990000000005
ADAIR,2019-07-01,1335,15634.989999999998
ADAIR,2019-08-01,2582,32858.23
ADAIR,2019-09-01,1907,22433.149999999998
ADAIR,2019-10-01,2417,29285.46
ADAIR,2019-11-01,2930,36522.36
ADAIR,2019-12-01,2783,32627.180000000011
ADAIR,2020-01-01,2480,31701.670000000002
ADAIR,2020-02-01,2148,26471.760000000009
ADAIR,2020-03-01,2263,30577.099999999995
ADAIR,2020-04-01,3210,40231.179999999986
ADAIR,2020-05-01,3556,46035.33
ADAIR,2020-06-01,2552,31265.609999999993
ADAIR,2020-07-01,3218,38112.15
ADAIR,2020-08-01,3092,39578.27999999997
ADAIR,2020-09-01,3293,38158.75
ADAIR,2020-10-01,3854,46147.94
ADAIR,2020-11-01,3114,33328.36
ADAIR,2020-12-01,3857,44617.249999999993
ADAIR,2021-01-01,3938,46987.729999999989
ADAIR,2021-02-01,3335,40947.430000000015
ADAIR,2021-03-01,3040,34988.95
ADAIR,2021-04-01,3094,37103.969999999994
ADAIR,2021-05-01,3111,35934.3
ADAIR,2021-06-01,3367,37858.250000000007
ADAIR,2021-07-01,3411,42492.520000000004
ADAIR,2021-08-01,3089,34077.27
ADAIR,2021-09-01,3123,37798.569999999992
ADAIR,2021-10-01,3802,46511.819999999985
ADAIR,2021-11-01,3113,35609.100000000006
ADAIR,2021-12-01,4343,53273.219999999987
ADAIR,2022-01-01,2559,29406.849999999991
ADAIR,2022-02-01,2798,31877.770000000004
ADAIR,2022-03-01,2670,30465.850000000006
ADAIR,2022-04-01,4192,53065.179999999986
ADAIR,2022-05-01,3575,39657.34
ADAIR,2022-06-01,3456,41127.07
ADAIR,2022-07-01,4670,58067.35
ADAIR,2022-08-01,3273,40007.229999999996
ADAIR,2022-09-01,4700,57268.610000000015
ADAIR,2022-10-01,3562,45413.69000000001
ADAIR,2022-11-01,3489,47332.929999999993
ADAMS,2012-01-01,686,8803.29
ADAMS,2012-02-01,691,8628.5699999999961
ADAMS,2012-03-01,650,7670.3400000000011
ADAMS,2012-04-01,472,5454.2799999999988
ADAMS,2012-05-01,775,9610.8500000000022
ADAMS,2012-06-01,527,6032.2900000000018
ADAMS,2012-07-01,824,10305.86
ADAMS,2012-08-01,542,6836.6099999999979
ADAMS,2012-09-01,542,6677.04
ADAMS,2012-10-01,672,8093.5999999999995
ADAMS,2012-11-01,575,6992.02
ADAMS,2012-12-01,942,11570.14
ADAMS,2013-01-01,439,5914.8300000000008
ADAMS,2013-02-01,552,6768.1399999999976
ADAMS,2013-03-01,581,7781.2699999999986
ADAMS,2013-04-01,730,9157.46
ADAMS,2013-05-01,561,6389.0599999999995
ADAMS,2013-06-01,470,5957.21
ADAMS,2013-07-01,861,11791.150000000001
ADAMS,2013-08-01,547,6848.48
ADAMS,2013-09-01,552,6429.8000000000038
ADAMS,2013-10-01,560,7109.4100000000008
ADAMS,2013-11-01,479,7170.6599999999989
ADAMS,2013-12-01,760,9968.7699999999986
ADAMS,2014-01-01,522,6631.54
ADAMS,2014-02-01,453,4810.3700000000008
ADAMS,2014-03-01,558,6848.82
ADAMS,2014-04-01,592,7059.5099999999984
ADAMS,2014-05-01,520,6279.41
ADAMS,2014-06-01,735,8227.1899999999987
ADAMS,2014-07-01,532,5925.9900000000007
ADAMS,2014-08-01,552,6784.6799999999994
ADAMS,2014-09-01,813,9853.2700000000023
ADAMS,2014-10-01,642,7153.5700000000015
ADAMS,2014-11-01,619,7749.5400000000009
ADAMS,2014-12-01,1018,13200.330000000004
ADAMS,2015-01-01,490,4962.4799999999987
ADAMS,2015-02-01,531,6759.1799999999985
ADAMS,2015-03-01,783,8613.369999999999
ADAMS,2015-04-01,584,6362.7899999999991
ADAMS,2015-05-01,717,9341.5899999999983
ADAMS,2015-06-01,745,8379.7799999999988
ADAMS,2015-07-01,730,7738.7799999999988
ADAMS,2015-08-01,637,7324.59
ADAMS,2015-09-01,845,9894.4599999999973
ADAMS,2015-10-01,597,7234.6599999999989
ADAMS,2015-11-01,612,8007.0400000000009
ADAMS,2015-12-01,1175,15978.080000000005
ADAMS,2016-01-01,475,6362.5599999999995
ADAMS,2016-02-01,556,6518.8599999999979
ADAMS,2016-03-01,696,8953.0699999999979
ADAMS,2016-04-01,543,6885.7599999999993
ADAMS,2016-05-01,611,7444.8999999999969
ADAMS,2016-06-01,477,5713.3399999999983
ADAMS,2016-07-01,652,7411.6100000000015
ADAMS,2016-08-01,531,6540.9
ADAMS,2016-09-01,596,7255.5000000000027
ADAMS,2016-10-01,581,7696.3399999999992
ADAMS,2016-11-01,601,7643.2299999999987
ADAMS,2016-12-01,667,9163.42
ADAMS,2017-01-01,455,5977.9
ADAMS,2017-02-01,529,7863.409999999998
ADAMS,2017-03-01,616,8031.2499999999991
ADAMS,2017-04-01,359,5723.9399999999987
ADAMS,2017-05-01,396,4926.8599999999988
ADAMS,2017-06-01,552,7740.35
ADAMS,2017-07-01,368,4884.43
ADAMS,2017-08-01,205,3506.8200000000006
ADAMS,2017-09-01,520,7320.34
ADAMS,2017-10-01,706,9923.8100000000013
ADAMS,2017-11-01,893,11658.969999999998
ADAMS,2017-12-01,607,9574.2900000000027
ADAMS,2018-01-01,243,3420.5700000000006
ADAMS,2018-02-01,193,3317.3299999999995
ADAMS,2018-03-01,361,6241.1200000000008
ADAMS,2018-04-01,278,4279.88
ADAMS,2018-05-01,450,6686.3700000000008
ADAMS,2018-06-01,436,6242.2300000000005
ADAMS,2018-07-01,282,4390.19
ADAMS,2018-08-01,402,6220.2800000000007
ADAMS,2018-09-01,388,5793.8900000000012
ADAMS,2018-10-01,174,3379.96
ADAMS,2018-11-01,557,6213.4800000000005
ADAMS,2018-12-01,117,1050.27
ADAMS,2019-02-01,431,5047.4800000000005
ADAMS,2019-05-01,345,3264.9100000000003
ADAMS,2019-07-01,197,2863.1800000000003
ADAMS,2019-08-01,1600,21317.969999999998
ADAMS,2019-09-01,735,11139.58
ADAMS,2019-10-01,1288,17822.770000000004
ADAMS,2019-11-01,1355,21895.800000000003
ADAMS,2019-12-01,1209,17476.429999999997
ADAMS,2020-01-01,1281,18743.269999999993
ADAMS,2020-02-01,1043,15212.81
ADAMS,2020-03-01,1242,16134.51
ADAMS,2020-04-01,1416,17973.500000000004
ADAMS,2020-05-01,1490,19901.210000000003
ADAMS,2020-06-01,1462,19943.380000000008
ADAMS,2020-07-01,1566,23573.05
ADAMS,2020-08-01,1273,17559.1
ADAMS,2020-09-01,1347,20363.250000000007
ADAMS,2020-10-01,1229,17772.289999999994
ADAMS,2020-11-01,1019,15343.329999999998
ADAMS,2020-12-01,1334,19173.54
ADAMS,2021-01-01,1480,20792.829999999998
ADAMS,2021-02-01,1144,15703.030000000004
ADAMS,2021-03-01,1236,15761.99
ADAMS,2021-04-01,1614,21680.410000000003
ADAMS,2021-05-01,1504,19607.49
ADAMS,2021-06-01,1191,16125.54
ADAMS,2021-07-01,1289,16723.25
ADAMS,2021-08-01,1324,17543.13
ADAMS,2021-09-01,1108,15745.01
ADAMS,2021-10-01,1433,19029.749999999996
ADAMS,2021-11-01,1340,16125.409999999998
ADAMS,2021-12-01,1480,20708.019999999993
ADAMS,2022-01-01,1352,14366.389999999998
ADAMS,2022-02-01,846,11400.950000000003
ADAMS,2022-03-01,1520,17067.8
ADAMS,2022-04-01,1300,17981.100000000002
ADAMS,2022-05-01,1568,19724.459999999995
ADAMS,2022-06-01,1492,17456.320000000003
ADAMS,2022-07-01,1637,24609.1
ADAMS,2022-08-01,1639,21513.38
ADAMS,2022-09-01,1882,26628.340000000004
ADAMS,2022-10-01,1458,17234.659999999996
ADAMS,2022-11-01,1232,17652.83
